Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
1970-01-01,-5.0,-6.9,-2.4,6480,2.0,0.39,2.0
1970-01-02,-7.7,-10.9,-4.8,6330,1.6,0.31,1.6
1970-01-03,-9.9,-11.7,-8.6,7530,0.0,0.24,3.0
1970-01-04,-9.8,-12.6,-5.3,9670,0.0,0.25,2.5
1970-01-05,-12.4,-16.4,-7.9,6890,0.0,0.21,1.7
1970-01-06,-19.7,-23.9,-14.9,10090,0.0,0.1,2.8
1970-01-07,-21.1,-23.7,-18.9,9580,0.0,0.09,4.2
1970-01-08,-22.1,-23.2,-20.8,10280,0.3,0.08,6.2
1970-01-09,-18.0,-20.7,-14.9,9430,0.9,0.12,4.7
1970-01-10,-17.4,-22.5,-12.4,8700,0.0,0.13,2.7
1970-01-11,-6.9,-13.8,-3.5,4870,2.7,0.33,2.4
1970-01-12,-7.4,-12.4,-5.5,10550,0.0,0.3,3.2
1970-01-13,-13.6,-20.1,-7.3,9500,0.0,0.19,2.1
1970-01-14,-7.5,-9.7,-4.6,7950,1.4,0.31,3.0
1970-01-15,-5.0,-9.9,1.2,10260,0.0,0.38,3.4
1970-01-16,-0.1,-2.1,2.2,8450,0.2,0.54,3.2
1970-01-17,-2.3,-6.0,0.3,4360,5.1,0.48,2.5
1970-01-18,-10.6,-15.2,-6.5,7520,0.0,0.23,4.1
1970-01-19,-17.9,-23.6,-15.4,11580,1.2,0.12,3.3
1970-01-20,-24.1,-28.8,-20.0,10170,0.1,0.07,4.8
1970-01-21,-23.5,-26.7,-19.7,11890,0.0,0.07,4.1
1970-01-22,-19.9,-29.2,-8.7,9980,1.3,0.11,4.4
1970-01-23,-7.8,-11.8,-6.0,9850,2.2,0.29,3.8
1970-01-24,-7.0,-13.7,1.6,9010,0.9,0.34,5.2
1970-01-25,3.0,0.9,5.6,5320,0.0,0.69,6.5
1970-01-26,-1.8,-3.7,0.7,7770,2.1,0.49,3.3
1970-01-27,-0.9,-3.0,0.6,6930,1.7,0.51,3.9
1970-01-28,7.3,-0.7,16.0,5080,0.4,0.92,6.1
1970-01-29,0.7,-4.1,4.8,4200,1.6,0.53,4.0
1970-01-30,-3.0,-7.8,2.8,10470,0.0,0.29,3.4
1970-01-31,2.5,-2.2,8.9,10890,0.0,0.39,4.6
