Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
01/01/1978,-1.4,-8.4,0.9,3470,6.6,0.5,4.5
02/01/1978,-11.1,-16.7,-5.6,7570,0.0,0.18,4.6
03/01/1978,-8.4,-11.6,-4.4,9770,0.0,0.2,2.6
04/01/1978,-1.7,-7.0,4.7,8490,0.0,0.35,3.8
05/01/1978,-0.5,-1.4,1.1,2780,5.0,0.48,1.8
06/01/1978,0.7,-1.3,4.0,2950,0.0,0.63,1.4
07/01/1978,3.6,1.5,6.5,2290,3.6,0.77,2.2
08/01/1978,-3.0,-13.5,3.8,3100,0.8,0.45,5.1
09/01/1978,-16.6,-18.4,-13.9,9750,0.0,0.09,6.3
10/01/1978,-18.7,-21.8,-15.1,10820,0.0,0.09,4.3
11/01/1978,-16.2,-20.4,-10.4,10780,0.0,0.11,2.3
12/01/1978,-9.7,-15.6,-6.7,3720,2.7,0.21,1.3
13/01/1978,-6.6,-8.2,-5.3,4850,2.3,0.32,2.3
14/01/1978,-6.3,-8.4,-5.1,7460,1.5,0.32,3.9
15/01/1978,-12.9,-17.3,-9.0,11290,0.0,0.18,3.2
16/01/1978,-10.5,-15.7,-7.1,4970,4.3,0.24,2.0
17/01/1978,-8.4,-11.0,-6.9,7450,5.3,0.27,4.8
18/01/1978,-13.7,-17.0,-9.9,11150,0.0,0.18,1.9
19/01/1978,-8.2,-17.1,-4.9,6220,2.1,0.29,2.9
20/01/1978,-6.4,-7.4,-5.2,7520,5.1,0.32,4.0
21/01/1978,-12.1,-16.2,-6.8,11920,0.2,0.21,2.8
22/01/1978,-16.0,-22.2,-8.6,11930,0.0,0.15,1.9
23/01/1978,-9.9,-15.0,-3.4,11650,0.0,0.24,2.6
24/01/1978,-2.4,-6.6,0.8,3670,3.0,0.48,2.4
25/01/1978,-1.6,-2.8,-0.7,3610,11.5,0.52,2.9
26/01/1978,-10.8,-15.2,-4.7,6140,15.3,0.23,10.7
27/01/1978,-14.2,-16.3,-11.9,11030,1.2,0.16,8.4
28/01/1978,-14.9,-16.7,-12.7,11780,0.0,0.15,5.8
29/01/1978,-16.7,-18.4,-14.5,12850,0.0,0.13,5.2
30/01/1978,-18.2,-23.5,-12.4,12370,0.4,0.12,3.0
31/01/1978,-12.5,-14.3,-11.2,10750,0.3,0.19,4.5
01/02/1978,-13.7,-17.9,-9.1,8480,0.5,0.18,1.6
02/02/1978,-13.1,-16.5,-9.9,12690,0.1,0.19,2.4
03/02/1978,-13.1,-17.1,-8.5,8360,1.5,0.18,2.1
04/02/1978,-13.2,-17.8,-8.0,12000,1.1,0.19,2.3
05/02/1978,-8.6,-13.0,-5.5,11520,1.2,0.27,6.0
06/02/1978,-15.7,-18.0,-12.2,12630,0.0,0.14,5.1
07/02/1978,-16.9,-21.1,-12.0,14110,0.0,0.13,3.2
08/02/1978,-14.6,-18.4,-9.5,14120,0.0,0.17,2.1
09/02/1978,-14.5,-19.8,-7.9,14250,0.0,0.18,2.4
10/02/1978,-15.2,-20.3,-8.8,13860,0.0,0.17,2.0
11/02/1978,-14.1,-20.4,-6.2,14430,0.0,0.18,2.4
12/02/1978,-9.9,-14.4,-4.0,14400,0.0,0.25,1.8
13/02/1978,-5.4,-8.2,-3.6,4500,17.7,0.36,5.7
14/02/1978,-9.5,-12.9,-3.9,15030,0.4,0.25,2.8
15/02/1978,-9.6,-14.9,-5.0,13670,0.1,0.26,2.9
16/02/1978,-10.2,-14.4,-6.5,14280,0.3,0.24,2.2
17/02/1978,-11.7,-13.9,-9.9,14090,0.0,0.2,2.5
18/02/1978,-15.4,-19.1,-10.7,16520,0.0,0.15,2.0
19/02/1978,-14.2,-19.7,-7.8,14700,0.0,0.17,1.2
20/02/1978,-11.3,-16.3,-5.0,13850,0.5,0.22,2.1
21/02/1978,-9.9,-14.0,-6.0,13070,0.1,0.24,2.7
22/02/1978,-11.8,-18.3,-5.6,17280,0.0,0.2,2.2
23/02/1978,-5.5,-8.9,-2.5,9670,0.5,0.34,3.1
24/02/1978,-2.4,-7.5,2.5,16300,0.0,0.44,4.3
25/02/1978,-1.2,-4.6,1.1,11610,0.0,0.47,4.9
26/02/1978,-6.3,-8.3,-4.0,14030,0.1,0.3,3.5
27/02/1978,-6.2,-10.5,-1.3,16260,0.0,0.27,1.6
28/02/1978,-3.0,-7.5,0.8,14330,0.4,0.39,1.6
01/03/1978,-6.1,-11.8,-3.4,17280,0.5,0.29,3.2
02/03/1978,-8.0,-14.2,-4.1,6110,4.5,0.26,2.9
03/03/1978,-5.9,-8.6,-3.4,12100,2.3,0.32,3.6
04/03/1978,-11.1,-14.8,-7.9,17580,0.0,0.2,3.2
05/03/1978,-11.8,-18.9,-4.7,18310,0.0,0.18,2.5
