site,crop,variety,year,sowingDOY
Indiana,wheat,Generic,1972,278
Indiana,wheat,Generic,1973,271
Indiana,wheat,Generic,1974,275
Indiana,wheat,Generic,1975,276
Indiana,wheat,Generic,1976,277
Indiana,wheat,Generic,1977,286
Indiana,wheat,Generic,1978,271
Indiana,wheat,Generic,1979,278
Indiana,wheat,Generic,1980,273
Indiana,wheat,Generic,1981,273
Indiana,wheat,Generic,1982,286
Indiana,wheat,Generic,1983,273
Indiana,wheat,Generic,1984,279
Indiana,wheat,Generic,1985,280
Indiana,wheat,Generic,1986,284
Indiana,wheat,Generic,1987,280
Indiana,wheat,Generic,1988,280
Indiana,wheat,Generic,1989,275
Indiana,wheat,Generic,1990,274
