"","site","year","DOY","FINT","Disease"
"1","Indiana",1973,144,1,NA
"2","Indiana",1973,187,0.25,NA
"3","Indiana",1974,141,1,NA
"4","Indiana",1974,189,0.25,NA
"5","Indiana",1975,143,1,NA
"6","Indiana",1975,188,0.25,NA
"7","Indiana",1976,133,1,NA
"8","Indiana",1976,189,0.25,NA
"9","Indiana",1977,132,1,NA
"10","Indiana",1977,187,0.25,NA
"11","Indiana",1978,155,1,NA
"12","Indiana",1978,198,0.25,NA
"13","Indiana",1979,146,1,NA
"14","Indiana",1979,198,0.25,NA
"15","Indiana",1980,145,1,NA
"16","Indiana",1980,192,0.25,NA
"17","Indiana",1981,142,1,NA
"18","Indiana",1981,190,0.25,NA
"19","Indiana",1982,151,1,NA
"20","Indiana",1982,189,0.25,NA
"21","Indiana",1983,144,1,NA
"22","Indiana",1983,189,0.25,NA
"23","Indiana",1984,152,1,NA
"24","Indiana",1984,191,0.25,NA
"25","Indiana",1985,127,1,NA
"26","Indiana",1985,180,0.25,NA
"27","Indiana",1986,133,1,NA
"28","Indiana",1986,197,0.25,NA
"29","Indiana",1987,134,1,NA
"30","Indiana",1987,205,0.25,NA
"31","Indiana",1988,136,1,NA
"32","Indiana",1988,178,0.25,NA
"33","Indiana",1989,140,1,NA
"34","Indiana",1989,187,0.25,NA
"35","Indiana",1990,135,1,NA
"36","Indiana",1990,184,0.25,NA
"37","Indiana",1991,130,1,NA
"38","Indiana",1991,172,0.25,NA
"39","Indiana",1973,131,NA,8.955414031
"40","Indiana",1973,137,NA,28.00956052
"41","Indiana",1973,144,NA,30.25076132
"42","Indiana",1973,152,NA,46.8118251
"43","Indiana",1973,157,NA,51.85992219
"44","Indiana",1973,164,NA,77.26464635
"45","Indiana",1973,172,NA,95.42077151
"46","Indiana",1973,174,NA,96.27189003
"47","Indiana",1974,127,NA,5.2252825
"48","Indiana",1974,134,NA,10.1217561
"49","Indiana",1974,141,NA,20.88350606
"50","Indiana",1974,148,NA,32.08005486
"51","Indiana",1974,155,NA,46.66284743
"52","Indiana",1974,162,NA,74.23616907
"53","Indiana",1974,168,NA,94.7849001
"54","Indiana",1974,175,NA,97.77039486
"55","Indiana",1975,134,NA,3.7768516
"56","Indiana",1975,143,NA,20.4845237
"57","Indiana",1975,150,NA,37.8851828
"58","Indiana",1975,157,NA,43.58860084
"59","Indiana",1975,164,NA,56.18053182
"60","Indiana",1975,166,NA,64.98439182
"61","Indiana",1976,107,NA,0.313705456
"62","Indiana",1976,114,NA,0.630786871
"63","Indiana",1976,121,NA,1.423573351
"64","Indiana",1976,128,NA,2.731386975
"65","Indiana",1976,134,NA,8.301055191
"66","Indiana",1976,141,NA,16.5222169
"67","Indiana",1976,155,NA,31.83309408
"68","Indiana",1976,162,NA,59.15611244
"69","Indiana",1976,172,NA,89.98015035
"70","Indiana",1977,145,NA,20.2864425
"71","Indiana",1977,151,NA,45.18599559
"72","Indiana",1977,160,NA,74.42368642
"73","Indiana",1978,150,NA,11.80784739
"74","Indiana",1978,156,NA,27.54853868
"75","Indiana",1978,163,NA,23.46233264
"76","Indiana",1978,171,NA,35.8972656
"77","Indiana",1978,178,NA,49.2274276
"78","Indiana",1979,134,NA,1.000742836
"79","Indiana",1979,141,NA,3.599707344
"80","Indiana",1979,149,NA,6.421884016
"81","Indiana",1979,154,NA,26.18803296
"82","Indiana",1979,162,NA,40.89643887
"83","Indiana",1979,170,NA,70.90104152
"84","Indiana",1980,135,NA,0
"85","Indiana",1980,142,NA,0.003002164
"86","Indiana",1980,154,NA,12.03693726
"87","Indiana",1980,158,NA,20.88350606
"88","Indiana",1980,167,NA,41.17582938
"89","Indiana",1980,181,NA,86.10477346
"90","Indiana",1981,124,NA,15.12180576
"91","Indiana",1981,132,NA,26.75079788
"92","Indiana",1981,139,NA,36.55402972
"93","Indiana",1981,146,NA,60.672455
"94","Indiana",1981,153,NA,60.8421125
"95","Indiana",1981,160,NA,76.31178476
"96","Indiana",1981,166,NA,87.31941176
"97","Indiana",1981,181,NA,97.77039486
"98","Indiana",1982,147,NA,1.423573351
"99","Indiana",1982,155,NA,1.248096199
"100","Indiana",1982,161,NA,7.062836911
"101","Indiana",1982,171,NA,64.63403192
"102","Indiana",1983,130,NA,0.871549231
"103","Indiana",1983,137,NA,4.523028304
"104","Indiana",1983,144,NA,18.83079578
"105","Indiana",1983,151,NA,29.41518584
"106","Indiana",1983,158,NA,45.0396029
"107","Indiana",1983,165,NA,50.61264128
"108","Indiana",1983,172,NA,71.8198284
"109","Indiana",1984,149,NA,7.4855209
"110","Indiana",1984,156,NA,9.495820959
"111","Indiana",1984,164,NA,22.83001938
"112","Indiana",1984,170,NA,37.6170722
"113","Indiana",1985,127,NA,0
"114","Indiana",1985,153,NA,10.8395644
"115","Indiana",1985,180,NA,15.63991
"116","Indiana",1986,140,NA,0.821516775
"117","Indiana",1986,147,NA,4.378537711
"118","Indiana",1986,154,NA,18.9261939
"119","Indiana",1986,161,NA,61.35249498
"120","Indiana",1986,164,NA,88.7471822
"121","Indiana",1987,132,NA,5.122140496
"122","Indiana",1987,139,NA,7.182428775
"123","Indiana",1987,146,NA,30.49161215
"124","Indiana",1987,152,NA,53.75904332
"125","Indiana",1987,159,NA,68.53969038
"126","Indiana",1988,123,NA,0.352928004
"127","Indiana",1988,130,NA,1.108327684
"128","Indiana",1988,137,NA,3.556008775
"129","Indiana",1988,144,NA,9.564429316
"130","Indiana",1989,124,NA,0.166215184
"131","Indiana",1989,131,NA,0.166215184
"132","Indiana",1989,138,NA,0.821516775
"133","Indiana",1989,142,NA,8.559978751
"134","Indiana",1989,150,NA,10.19247944
"135","Indiana",1989,156,NA,36.29061908
"136","Indiana",1989,163,NA,68.9003902
"137","Indiana",1989,169,NA,83.89990887
"138","Indiana",1990,127,NA,5.487249975
"139","Indiana",1990,135,NA,23.14511852
"140","Indiana",1990,141,NA,38.83097234
"141","Indiana",1990,149,NA,46.8118251
"142","Indiana",1990,157,NA,62.72385483
"143","Indiana",1990,164,NA,72.74449024
"144","Indiana",1990,170,NA,87.31941176
"145","Indiana",1991,128,NA,8.559978751
"146","Indiana",1991,135,NA,18.45155324
"147","Indiana",1991,141,NA,34.47306438
"148","Indiana",1991,149,NA,69.0810926
"149","Indiana",1991,155,NA,88.3380728
