site,crop,variety,year,sowingDOY
indiana,wheat,generic,1973,280
indiana,wheat,generic,1974,275
indiana,wheat,generic,1975,276
indiana,wheat,generic,1976,277
indiana,wheat,generic,1977,286
indiana,wheat,generic,1978,271
indiana,wheat,generic,1979,278
indiana,wheat,generic,1980,273
indiana,wheat,generic,1981,273
indiana,wheat,generic,1982,286
indiana,wheat,generic,1983,273
indiana,wheat,generic,1984,279
indiana,wheat,generic,1985,280
indiana,wheat,generic,1986,284
indiana,wheat,generic,1987,280
indiana,wheat,generic,1988,280
indiana,wheat,generic,1989,275
indiana,wheat,generic,1990,274
