Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
01/01/1977,-14.2,-17.0,-10.7,9750,0.0,0.11,3.4
02/01/1977,-10.9,-15.2,-6.1,6160,0.0,0.15,1.8
03/01/1977,-5.1,-7.5,-1.3,8630,1.3,0.3,1.3
04/01/1977,-3.6,-5.2,-1.4,4820,0.3,0.34,2.1
05/01/1977,-7.1,-14.0,-4.5,9780,3.6,0.31,2.8
06/01/1977,-10.3,-17.6,-4.7,6410,2.3,0.26,2.2
07/01/1977,-11.8,-19.4,-5.2,9950,0.3,0.18,3.5
08/01/1977,-11.0,-19.5,-3.8,6040,0.2,0.2,3.1
09/01/1977,-13.3,-16.6,-11.3,5010,7.0,0.17,4.2
10/01/1977,-14.6,-18.2,-12.3,7550,4.8,0.16,5.4
11/01/1977,-20.5,-25.2,-13.7,10920,0.0,0.09,3.7
12/01/1977,-16.6,-21.8,-11.8,10850,0.0,0.12,3.6
13/01/1977,-14.7,-26.6,-4.1,3610,4.0,0.19,3.5
14/01/1977,-5.1,-9.7,-2.8,6120,1.2,0.37,2.5
15/01/1977,-10.8,-17.6,-6.8,7930,0.4,0.21,3.4
16/01/1977,-23.9,-26.2,-18.2,11550,0.0,0.06,4.7
17/01/1977,-24.3,-27.2,-21.2,11410,0.0,0.06,3.8
18/01/1977,-17.5,-22.6,-11.2,9140,0.6,0.13,3.5
19/01/1977,-11.5,-16.6,-7.3,10470,0.4,0.19,3.6
20/01/1977,-8.3,-9.2,-7.0,6300,2.0,0.26,2.7
21/01/1977,-7.5,-11.2,-5.0,8450,0.0,0.28,3.3
22/01/1977,-13.6,-17.5,-9.7,10830,0.0,0.17,1.8
23/01/1977,-8.8,-17.6,-4.0,8190,0.0,0.27,3.1
24/01/1977,-2.7,-4.1,-0.9,5720,0.6,0.45,2.5
25/01/1977,-3.9,-6.6,-2.2,8250,0.6,0.38,4.0
26/01/1977,-7.9,-14.2,-1.3,7470,1.1,0.29,5.4
27/01/1977,-15.3,-18.8,-11.3,12200,0.1,0.14,3.9
28/01/1977,-17.6,-23.6,-3.2,12870,2.4,0.14,7.7
29/01/1977,-18.1,-21.6,-15.2,13270,0.0,0.1,8.0
30/01/1977,-16.4,-18.9,-14.7,12710,0.0,0.12,6.5
31/01/1977,-13.9,-16.5,-10.5,13510,0.0,0.16,6.8
01/02/1977,-12.2,-14.7,-9.8,12560,0.0,0.19,3.8
02/02/1977,-9.0,-15.5,-0.7,11370,0.7,0.28,3.3
03/02/1977,-1.0,-3.6,0.5,11470,3.2,0.5,5.4
04/02/1977,-2.9,-5.7,0.1,5600,4.9,0.45,3.7
05/02/1977,-12.4,-16.0,-7.1,12880,0.1,0.18,4.5
06/02/1977,-18.1,-23.3,-13.0,14630,0.0,0.11,2.2
07/02/1977,-17.8,-24.4,-9.4,14720,0.0,0.12,1.5
08/02/1977,-11.6,-19.4,-3.6,14410,0.0,0.19,2.5
09/02/1977,-0.7,-6.7,4.9,13170,0.0,0.48,4.0
10/02/1977,3.5,-0.4,9.2,13780,0.0,0.65,3.6
11/02/1977,5.1,1.3,12.4,13790,0.0,0.7,3.1
12/02/1977,4.0,1.8,7.4,4130,6.1,0.74,2.8
13/02/1977,1.2,-2.2,3.1,6370,0.0,0.41,4.8
14/02/1977,-1.9,-4.7,1.1,7860,1.9,0.35,2.8
15/02/1977,-7.0,-10.6,-4.5,9260,0.0,0.22,2.2
