Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
01/01/1986,-4.2,-10.1,2.8,8920,0.0,0.26,3.1
02/01/1986,1.6,-0.5,4.4,3940,1.6,0.38,4.2
03/01/1986,0.2,-1.8,3.1,3680,1.5,0.5,3.7
04/01/1986,-0.4,-3.1,3.6,4150,2.5,0.48,3.4
05/01/1986,-4.9,-8.7,-1.6,9540,0.3,0.24,5.8
06/01/1986,-5.8,-9.3,-2.4,8280,0.0,0.21,3.0
07/01/1986,-10.8,-14.5,-7.0,10060,0.0,0.15,2.7
08/01/1986,-10.0,-14.7,-4.2,9950,0.0,0.16,1.7
09/01/1986,-3.0,-7.9,4.2,10100,0.0,0.17,4.9
10/01/1986,0.2,-4.4,4.5,7310,0.0,0.39,2.9
11/01/1986,0.5,-5.0,8.3,9650,0.0,0.46,3.4
12/01/1986,2.8,-1.9,6.1,8380,0.8,0.46,6.2
13/01/1986,-5.9,-8.6,-3.2,9170,0.0,0.19,3.9
14/01/1986,-3.2,-5.3,0.0,8720,0.0,0.28,3.2
15/01/1986,-3.2,-8.7,3.6,10240,0.0,0.31,2.6
16/01/1986,3.1,-3.0,10.3,8310,0.0,0.52,3.8
17/01/1986,9.2,7.6,12.5,5380,0.4,0.99,4.2
18/01/1986,8.5,4.2,11.1,3370,0.9,1.03,3.9
19/01/1986,0.9,-1.2,3.5,5190,0.0,0.55,3.8
20/01/1986,-1.0,-2.8,2.7,8790,0.0,0.4,2.5
21/01/1986,4.8,-2.7,13.1,10330,0.0,0.68,4.5
22/01/1986,1.4,-3.1,5.6,6810,0.0,0.46,3.9
23/01/1986,-2.0,-6.0,3.7,11250,0.0,0.39,0.9
24/01/1986,0.0,-4.5,4.5,6010,1.3,0.41,3.7
25/01/1986,1.7,-0.5,3.4,3930,1.5,0.55,4.6
26/01/1986,-5.9,-11.8,-1.4,6720,0.8,0.22,5.1
27/01/1986,-17.1,-20.4,-12.5,11970,0.0,0.08,4.9
28/01/1986,-11.2,-16.6,-4.7,8670,0.0,0.14,2.4
29/01/1986,-4.4,-7.9,-2.4,6640,0.1,0.27,3.2
30/01/1986,-7.7,-13.3,-3.2,11810,0.0,0.2,1.5
31/01/1986,-0.8,-3.4,4.0,9710,0.0,0.32,1.9
01/02/1986,6.9,0.4,11.8,1680,1.5,0.89,4.7
02/02/1986,1.7,-3.4,7.3,11480,0.0,0.6,1.5
03/02/1986,1.7,-1.6,5.2,2510,6.2,0.65,3.0
04/02/1986,8.9,4.3,13.0,1260,27.2,1.15,3.4
05/02/1986,4.2,1.4,9.8,2080,0.5,0.81,1.6
06/02/1986,0.3,-2.9,2.0,4460,8.3,0.54,4.3
07/02/1986,-3.8,-4.8,-2.4,4680,12.5,0.38,3.1
08/02/1986,-4.6,-7.3,-2.3,8010,0.0,0.34,1.9
09/02/1986,-6.5,-11.4,-4.6,10540,0.0,0.27,3.0
10/02/1986,-10.9,-13.5,-7.7,11930,0.0,0.17,2.5
11/02/1986,-9.7,-12.2,-6.9,11670,0.0,0.18,2.7
