"Model","Parameter","unit","min","max","default","calibration","calibrated","value","file","facet_label"
"crop","FloweringStart","% crop cycle",50,85,50,FALSE,50,NA,"NA","FloweringStart (% crop cycle)"
"crop","PartitioningMaximum","unitless",0.8,1,1,FALSE,1,NA,"NA","PartitioningMaximum (unitless)"
"crop","RadiationUseEfficiency","g MJ-1",1,3.5,3,FALSE,3,NA,"NA","RadiationUseEfficiency (g MJ-1)"
"crop","TbaseCrop","°C",-1,5,1,FALSE,1,NA,"NA","TbaseCrop (°C)"
"crop","TmaxCrop","°C",32,37,35,FALSE,35,NA,"NA","TmaxCrop (°C)"
"crop","ToptCrop","°C",20,28,24,FALSE,24,NA,"NA","ToptCrop (°C)"
"crop","VarietalResistance","unitless",0,1,0,FALSE,0,NA,"NA","VarietalResistance (unitless)"
"disease","AssimilateSappersDamage","kg ha-1",0,20,0,FALSE,0,NA,"NA","AssimilateSappersDamage (kg ha-1)"
"disease","IsSplashBorne","unitless",0,1,1,FALSE,1,NA,"NA","IsSplashBorne (unitless)"
"disease","LightStealerDamage","unitless",0.5,2,1,FALSE,1,NA,"NA","LightStealerDamage (unitless)"
"disease","OuterInoculumShapeRelease","unitless",0,2,2,FALSE,2,NA,"NA","OuterInoculumShapeRelease (unitless)"
"disease","RUEreducerDamage","fraction",0,2,1,FALSE,1,NA,"NA","RUEreducerDamage (fraction)"
"disease","SenescenceAcceleratorDamage","%",0,40,0,FALSE,0,NA,"NA","SenescenceAcceleratorDamage (%)"
"crop","CycleLength","degree days",800,3000,2500,TRUE,2471.45729729647,2471.45729729647,"parameters_indiana_Generic.csv","CycleLength (degree days)"
"crop","HalfIntGrowth","unitless",20,35,25,TRUE,29.1216373385543,29.1216373385543,"parameters_indiana_Generic.csv","HalfIntGrowth (unitless)"
"crop","HalfIntSenescence","unitless",50,99,70,TRUE,84.0153206929497,84.0153206929497,"parameters_indiana_Generic.csv","HalfIntSenescence (unitless)"
"crop","SlopeGrowth","unitless",0.001,0.02,0.01,TRUE,0.00899488747670782,0.00899488747670782,"parameters_indiana_Generic.csv","SlopeGrowth (unitless)"
"crop","SlopeSenescence","unitless",0.001,0.07,0.01,TRUE,0.00265602488898741,0.00265602488898741,"parameters_indiana_Generic.csv","SlopeSenescence (unitless)"
"disease","CyclePercentageOnset","hydrodegree days",15,35,25,TRUE,29.7090522083077,29.7090522083077,"parameters_indiana_Generic.csv","CyclePercentageOnset (hydrodegree days)"
"disease","DryCriticalInterruption","hours",15,24,18,TRUE,22.0793522456041,22.0793522456041,"parameters_indiana_Generic.csv","DryCriticalInterruption (hours)"
"disease","HydroThermalTimeOnset","hydrodegree days",1,20,10,TRUE,2.58457593247459,2.58457593247459,"parameters_indiana_Generic.csv","HydroThermalTimeOnset (hydrodegree days)"
"disease","LatencyDuration","days",14,25,19.5,TRUE,14.7665205675056,14.7665205675056,"parameters_indiana_Generic.csv","LatencyDuration (days)"
"disease","OuterInoculumMax","unitless",0.01,0.25,0.01,TRUE,0.147586617712909,0.147586617712909,"parameters_indiana_Generic.csv","OuterInoculumMax (unitless)"
"disease","OuterInoculumShapeParameter","unitless",0,1,1,TRUE,0.562455190000109,0.562455190000109,"parameters_indiana_Generic.csv","OuterInoculumShapeParameter (unitless)"
"disease","PathogenSpread","unitless",0.001,0.1,0.04,TRUE,0.097168489764005,0.097168489764005,"parameters_indiana_Generic.csv","PathogenSpread (unitless)"
"disease","Rain50Detachment","unitless",0.1,20,10,TRUE,1.05588117703917,1.05588117703917,"parameters_indiana_Generic.csv","Rain50Detachment (unitless)"
"disease","RelativeHumidityCritical","unitless",60,70,60,TRUE,63.5917279406814,63.5917279406814,"parameters_indiana_Generic.csv","RelativeHumidityCritical (unitless)"
"disease","RelativeHumidityNotLimiting","unitless",80,90,90,TRUE,82.1073815339574,82.1073815339574,"parameters_indiana_Generic.csv","RelativeHumidityNotLimiting (unitless)"
"disease","SporulationDuration","days",20,30,25,TRUE,28.222055126904,28.222055126904,"parameters_indiana_Generic.csv","SporulationDuration (days)"
"disease","Tmax","°C",29,33,31,TRUE,31.9655036836224,31.9655036836224,"parameters_indiana_Generic.csv","Tmax (°C)"
"disease","Tmin","°C",5,10,7.5,TRUE,6.37265808731221,6.37265808731221,"parameters_indiana_Generic.csv","Tmin (°C)"
"disease","Topt","°C",18,24,18,TRUE,21.7512016695823,21.7512016695823,"parameters_indiana_Generic.csv","Topt (°C)"
"disease","WetnessDurationMinimum","hours",7,14,10,TRUE,7.64363422836338,7.64363422836338,"parameters_indiana_Generic.csv","WetnessDurationMinimum (hours)"
"disease","WetnessDurationOptimum","hours",24,48,36,TRUE,46.907355543072,46.907355543072,"parameters_indiana_Generic.csv","WetnessDurationOptimum (hours)"
