site,year,DOY,FINT,Disease
Indiana,1973,144,1,NA
Indiana,1973,187,0.25,NA
Indiana,1974,141,1,NA
Indiana,1974,189,0.25,NA
Indiana,1975,143,1,NA
Indiana,1975,188,0.25,NA
Indiana,1976,133,1,NA
Indiana,1976,189,0.25,NA
Indiana,1977,132,1,NA
Indiana,1977,187,0.25,NA
Indiana,1978,155,1,NA
Indiana,1978,198,0.25,NA
Indiana,1979,146,1,NA
Indiana,1979,198,0.25,NA
Indiana,1980,145,1,NA
Indiana,1980,192,0.25,NA
Indiana,1981,142,1,NA
Indiana,1981,190,0.25,NA
Indiana,1982,151,1,NA
Indiana,1982,189,0.25,NA
Indiana,1983,144,1,NA
Indiana,1983,189,0.25,NA
Indiana,1984,152,1,NA
Indiana,1984,191,0.25,NA
Indiana,1985,127,1,NA
Indiana,1985,180,0.25,NA
Indiana,1986,133,1,NA
Indiana,1986,197,0.25,NA
Indiana,1987,134,1,NA
Indiana,1987,205,0.25,NA
Indiana,1988,136,1,NA
Indiana,1988,178,0.25,NA
Indiana,1989,140,1,NA
Indiana,1989,187,0.25,NA
Indiana,1990,135,1,NA
Indiana,1990,184,0.25,NA
Indiana,1991,130,1,NA
Indiana,1991,172,0.25,NA
Indiana,1973,131,NA,8.955414031
Indiana,1973,137,NA,28.00956052
Indiana,1973,144,NA,30.25076132
Indiana,1973,152,NA,46.8118251
Indiana,1973,157,NA,51.85992219
Indiana,1973,164,NA,77.26464635
Indiana,1973,172,NA,95.42077151
Indiana,1973,174,NA,96.27189003
Indiana,1974,127,NA,5.2252825
Indiana,1974,134,NA,10.1217561
Indiana,1974,141,NA,20.88350606
Indiana,1974,148,NA,32.08005486
Indiana,1974,155,NA,46.66284743
Indiana,1974,162,NA,74.23616907
Indiana,1974,168,NA,94.7849001
Indiana,1974,175,NA,97.77039486
Indiana,1975,134,NA,3.7768516
Indiana,1975,143,NA,20.4845237
Indiana,1975,150,NA,37.8851828
Indiana,1975,157,NA,43.58860084
Indiana,1975,164,NA,56.18053182
Indiana,1975,166,NA,64.98439182
Indiana,1976,107,NA,0.313705456
Indiana,1976,114,NA,0.630786871
Indiana,1976,121,NA,1.423573351
Indiana,1976,128,NA,2.731386975
Indiana,1976,134,NA,8.301055191
Indiana,1976,141,NA,16.5222169
Indiana,1976,155,NA,31.83309408
Indiana,1976,162,NA,59.15611244
Indiana,1976,172,NA,89.98015035
Indiana,1977,145,NA,20.2864425
Indiana,1977,151,NA,45.18599559
Indiana,1977,160,NA,74.42368642
Indiana,1978,150,NA,11.80784739
Indiana,1978,156,NA,27.54853868
Indiana,1978,163,NA,23.46233264
Indiana,1978,171,NA,35.8972656
Indiana,1978,178,NA,49.2274276
Indiana,1979,134,NA,1.000742836
Indiana,1979,141,NA,3.599707344
Indiana,1979,149,NA,6.421884016
Indiana,1979,154,NA,26.18803296
Indiana,1979,162,NA,40.89643887
Indiana,1979,170,NA,70.90104152
Indiana,1980,135,NA,0
Indiana,1980,142,NA,0.003002164
Indiana,1980,154,NA,12.03693726
Indiana,1980,158,NA,20.88350606
Indiana,1980,167,NA,41.17582938
Indiana,1980,181,NA,86.10477346
Indiana,1981,124,NA,15.12180576
Indiana,1981,132,NA,26.75079788
Indiana,1981,139,NA,36.55402972
Indiana,1981,146,NA,60.672455
Indiana,1981,153,NA,60.8421125
Indiana,1981,160,NA,76.31178476
Indiana,1981,166,NA,87.31941176
Indiana,1981,181,NA,97.77039486
Indiana,1982,147,NA,1.423573351
Indiana,1982,155,NA,1.248096199
Indiana,1982,161,NA,7.062836911
Indiana,1982,171,NA,64.63403192
Indiana,1983,130,NA,0.871549231
Indiana,1983,137,NA,4.523028304
Indiana,1983,144,NA,18.83079578
Indiana,1983,151,NA,29.41518584
Indiana,1983,158,NA,45.0396029
Indiana,1983,165,NA,50.61264128
Indiana,1983,172,NA,71.8198284
Indiana,1984,149,NA,7.4855209
Indiana,1984,156,NA,9.495820959
Indiana,1984,164,NA,22.83001938
Indiana,1984,170,NA,37.6170722
Indiana,1985,127,NA,0
Indiana,1985,153,NA,10.8395644
Indiana,1985,180,NA,15.63991
Indiana,1986,140,NA,0.821516775
Indiana,1986,147,NA,4.378537711
Indiana,1986,154,NA,18.9261939
Indiana,1986,161,NA,61.35249498
Indiana,1986,164,NA,88.7471822
Indiana,1987,132,NA,5.122140496
Indiana,1987,139,NA,7.182428775
Indiana,1987,146,NA,30.49161215
Indiana,1987,152,NA,53.75904332
Indiana,1987,159,NA,68.53969038
Indiana,1988,123,NA,0.352928004
Indiana,1988,130,NA,1.108327684
Indiana,1988,137,NA,3.556008775
Indiana,1988,144,NA,9.564429316
Indiana,1989,124,NA,0.166215184
Indiana,1989,131,NA,0.166215184
Indiana,1989,138,NA,0.821516775
Indiana,1989,142,NA,8.559978751
Indiana,1989,150,NA,10.19247944
Indiana,1989,156,NA,36.29061908
Indiana,1989,163,NA,68.9003902
Indiana,1989,169,NA,83.89990887
Indiana,1990,127,NA,5.487249975
Indiana,1990,135,NA,23.14511852
Indiana,1990,141,NA,38.83097234
Indiana,1990,149,NA,46.8118251
Indiana,1990,157,NA,62.72385483
Indiana,1990,164,NA,72.74449024
Indiana,1990,170,NA,87.31941176
Indiana,1991,128,NA,8.559978751
Indiana,1991,135,NA,18.45155324
Indiana,1991,141,NA,34.47306438
Indiana,1991,149,NA,69.0810926
Indiana,1991,155,NA,88.3380728
