model,param,value
disease,AssimilateSappersDamage,1.2763451220835065
disease,CyclePercentageOnset,27.877302401613292
disease,DryCriticalInterruption,15.847596130988846
disease,HydroThermalTimeOnset,18.608534788123436
disease,LatencyDuration,23.05037774597913
disease,LightStealerDamage,0.8408580826771653
disease,OuterInoculumMax,0.19574945165343122
disease,OuterInoculumShapeParameter,0.8276311719925821
disease,PathogenSpread,0.04444896553545318
disease,RUEreducerDamage,1.1091695740316696
disease,Rain50Detachment,9.062680164121785
disease,RelativeHumidityCritical,61.28113632675546
disease,RelativeHumidityNotLimiting,83.70798024232582
disease,SporulationDuration,24.43414198827331
disease,Tmax,32.144257221107814
disease,Tmin,9.87811175818378
disease,Topt,22.56683821194212
disease,WetnessDurationMinimum,11.881576203415548
disease,WetnessDurationOptimum,44.60635007787318
