projectid;CURRENT.DATE;simulationid;WLVG;WLVD;WST;WRT;WSO;TAGB;TSUM;DVS;LAI;TRANRF;GRT;NNI;NPKI;ES0;ETC;TRMAX;EVMAX;WAVT;TPAR;TPARINT;FINT;RAIN;WBAL;WBALL;SMACT;TDRAIN;TRAIN;TRUNOF;TIRR;TESOIL;TTRANS;WTOT;TWDR;CFET;CFEV;CRAIRC;DEPNR;IAIRDU;IOPT;IRRI;KSUB;RDI;RDMCR;RDMSO;RUNFR;SM0;SMDRY;SMFC;SMI;SMLOWI;SMW;RD;RR;RDM
in1;31.12.1973;in1_00__01.01.1973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.06620799936998759;0.0;1.0E-4;0.06620799936998759;9.999999999999998;0.0;0.0;0.0;6.48678839206696;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1982;in1_00__01.01.1982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.3996040240257066;0.4472207117337693;1.0E-4;0.3996040240257066;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1976;in1_00__01.01.1976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.4861396023038252;0.5041218932822351;1.0E-4;0.4861396023038252;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1974;in1_00__01.01.1974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0973787522057422;0.1127926797950235;1.0E-4;0.0973787522057422;9.999999999999998;0.0;0.0;0.0;6.79164651478459;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1980;in1_00__01.01.1980;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5313786524159112;0.5727275646391161;1.0E-4;0.5313786524159112;9.999999999999998;0.0;0.0;0.0;1.06485686114866;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1975;in1_00__01.01.1975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.26212962802180273;0.21233658328452593;1.0E-4;0.26212962802180273;9.999999999999998;0.0;0.0;0.0;1.27309560775757;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1983;in1_00__01.01.1983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.6133575522744282;0.6630096102940494;1.0E-4;0.6133575522744282;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1977;in1_00__01.01.1977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.3850840010662954;0.3632700685873148;1.0E-4;0.3850840010662954;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1978;in1_00__01.01.1978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0E-4;0.0;9.999999999999998;0.0;0.0;0.0;30.2668778355155;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.12.1981;in1_00__01.01.1981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.714925185113331;0.7842047158960741;1.0E-4;0.714925185113331;9.999999999999998;0.0;0.0;0.0;6.70334994782706;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
