Date,Year,DiseaseSeverity,Source
1972-10-04,1972.0,0.0,FraNchEstYN
1972-10-05,1972.0,0.0,FraNchEstYN
1972-10-06,1972.0,0.0,FraNchEstYN
1972-10-07,1972.0,0.0,FraNchEstYN
1972-10-08,1972.0,0.0,FraNchEstYN
1972-10-09,1972.0,0.0,FraNchEstYN
1972-10-10,1972.0,0.0,FraNchEstYN
1972-10-11,1972.0,0.0,FraNchEstYN
1972-10-12,1972.0,0.0,FraNchEstYN
1972-10-13,1972.0,0.0,FraNchEstYN
1972-10-14,1972.0,0.0,FraNchEstYN
1972-10-15,1972.0,0.0,FraNchEstYN
1972-10-16,1972.0,0.0,FraNchEstYN
1972-10-17,1972.0,0.0,FraNchEstYN
1972-10-18,1972.0,0.0,FraNchEstYN
1972-10-19,1972.0,0.0,FraNchEstYN
1972-10-20,1972.0,0.0,FraNchEstYN
1972-10-21,1972.0,0.0,FraNchEstYN
1972-10-22,1972.0,0.0,FraNchEstYN
1972-10-23,1972.0,0.0,FraNchEstYN
1972-10-24,1972.0,0.0,FraNchEstYN
1972-10-25,1972.0,0.0,FraNchEstYN
1972-10-26,1972.0,0.0,FraNchEstYN
1972-10-27,1972.0,0.0,FraNchEstYN
1972-10-28,1972.0,0.0,FraNchEstYN
1972-10-29,1972.0,0.0,FraNchEstYN
1972-10-30,1972.0,0.0,FraNchEstYN
1972-10-31,1972.0,0.0,FraNchEstYN
1972-11-01,1972.0,0.0,FraNchEstYN
1972-11-02,1972.0,0.0,FraNchEstYN
1972-11-03,1972.0,0.0,FraNchEstYN
1972-11-04,1972.0,0.0,FraNchEstYN
1972-11-05,1972.0,0.0,FraNchEstYN
1972-11-06,1972.0,0.0,FraNchEstYN
1972-11-07,1972.0,0.0,FraNchEstYN
1972-11-08,1972.0,0.0,FraNchEstYN
1972-11-09,1972.0,0.0,FraNchEstYN
1972-11-10,1972.0,0.0,FraNchEstYN
1972-11-11,1972.0,0.0,FraNchEstYN
1972-11-12,1972.0,0.0,FraNchEstYN
1972-11-13,1972.0,0.0,FraNchEstYN
1972-11-14,1972.0,0.0,FraNchEstYN
1972-11-15,1972.0,0.0,FraNchEstYN
1972-11-16,1972.0,0.0,FraNchEstYN
1972-11-17,1972.0,0.0,FraNchEstYN
1972-11-18,1972.0,0.0,FraNchEstYN
1972-11-19,1972.0,0.0,FraNchEstYN
1972-11-20,1972.0,0.0,FraNchEstYN
1972-11-21,1972.0,0.0,FraNchEstYN
1972-11-22,1972.0,0.0,FraNchEstYN
1972-11-23,1972.0,0.0,FraNchEstYN
1972-11-24,1972.0,0.0,FraNchEstYN
1972-11-25,1972.0,0.0,FraNchEstYN
1972-11-26,1972.0,0.0,FraNchEstYN
1972-11-27,1972.0,0.0,FraNchEstYN
1972-11-28,1972.0,0.0,FraNchEstYN
1972-11-29,1972.0,0.0,FraNchEstYN
1972-11-30,1972.0,0.0,FraNchEstYN
1972-12-01,1972.0,0.0,FraNchEstYN
1972-12-02,1972.0,0.0,FraNchEstYN
1972-12-03,1972.0,0.0,FraNchEstYN
1972-12-04,1972.0,0.0,FraNchEstYN
1972-12-05,1972.0,0.0,FraNchEstYN
1972-12-06,1972.0,0.0,FraNchEstYN
1972-12-07,1972.0,0.0,FraNchEstYN
1972-12-08,1972.0,0.0,FraNchEstYN
1972-12-09,1972.0,0.0,FraNchEstYN
1972-12-10,1972.0,0.0,FraNchEstYN
1972-12-11,1972.0,0.0,FraNchEstYN
1972-12-12,1972.0,0.0,FraNchEstYN
1972-12-13,1972.0,0.0,FraNchEstYN
1972-12-14,1972.0,0.0,FraNchEstYN
1972-12-15,1972.0,0.0,FraNchEstYN
1972-12-16,1972.0,0.0,FraNchEstYN
1972-12-17,1972.0,0.0,FraNchEstYN
1972-12-18,1972.0,0.0,FraNchEstYN
1972-12-19,1972.0,0.0,FraNchEstYN
1972-12-20,1972.0,0.0,FraNchEstYN
1972-12-21,1972.0,0.0,FraNchEstYN
1972-12-22,1972.0,0.0,FraNchEstYN
1972-12-23,1972.0,0.0,FraNchEstYN
1972-12-24,1972.0,0.0,FraNchEstYN
1972-12-25,1972.0,0.0,FraNchEstYN
1972-12-26,1972.0,0.0,FraNchEstYN
1972-12-27,1972.0,0.0,FraNchEstYN
1972-12-28,1972.0,0.0,FraNchEstYN
1972-12-29,1972.0,0.0,FraNchEstYN
