location,NUTS_ID,NUTS_NAME,STATE_NAME,LATITUDE,ALTITUDE,IDPL,CO2
1972,US-IN,Tippecanoe County,Indiana,40.4698,215.0,278,327.46
1973,US-IN,Tippecanoe County,Indiana,40.4698,215.0,271,329.68
1974,US-IN,Tippecanoe County,Indiana,40.4698,215.0,275,330.19
1975,US-IN,Tippecanoe County,Indiana,40.4698,215.0,276,331.13
1976,US-IN,Tippecanoe County,Indiana,40.4698,215.0,277,332.03
1977,US-IN,Tippecanoe County,Indiana,40.4698,215.0,286,333.84
1978,US-IN,Tippecanoe County,Indiana,40.4698,215.0,271,335.41
1979,US-IN,Tippecanoe County,Indiana,40.4698,215.0,278,336.84
1980,US-IN,Tippecanoe County,Indiana,40.4698,215.0,273,338.76
1981,US-IN,Tippecanoe County,Indiana,40.4698,215.0,273,340.12
1982,US-IN,Tippecanoe County,Indiana,40.4698,215.0,286,341.48
1983,US-IN,Tippecanoe County,Indiana,40.4698,215.0,273,343.15
1984,US-IN,Tippecanoe County,Indiana,40.4698,215.0,279,344.87
1985,US-IN,Tippecanoe County,Indiana,40.4698,215.0,280,346.35
1986,US-IN,Tippecanoe County,Indiana,40.4698,215.0,284,347.61
1987,US-IN,Tippecanoe County,Indiana,40.4698,215.0,280,349.31
1988,US-IN,Tippecanoe County,Indiana,40.4698,215.0,280,351.69
1989,US-IN,Tippecanoe County,Indiana,40.4698,215.0,275,353.2
1990,US-IN,Tippecanoe County,Indiana,40.4698,215.0,274,354.45
