location,SMDRY,SMW,SMFC,SMO,CRAIRC,SMI,SMLOWI,RDMSO,RUNFR,CFEV,KSUB,NMINS,PMINS,KMINS,RTNMINS,RTPMINS,RTKMINS
1972,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1973,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1974,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1975,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1976,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1977,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1978,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1979,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1980,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1981,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1982,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1983,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1984,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1985,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1986,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1987,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1988,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1989,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
1990,0.084849,0.169697,0.359652,0.510219,0.07,0.359652,0.359652,2.0,0.0,2.0,229.5,3.0,3.0,3.0,0.025,0.025,0.025
