Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
01/01/1975,-0.6,-4.5,1.9,6720,0.0,0.45,4.7
02/01/1975,-2.6,-7.1,2.3,7620,0.2,0.34,2.3
03/01/1975,1.0,-0.7,3.3,4590,4.8,0.56,4.7
04/01/1975,-1.5,-5.0,1.8,7160,0.0,0.41,2.6
05/01/1975,-0.9,-6.0,5.5,8320,0.0,0.45,2.3
06/01/1975,1.8,0.1,4.3,4420,2.5,0.54,4.0
07/01/1975,3.2,-1.3,8.8,7040,0.6,0.61,3.3
08/01/1975,8.6,3.7,10.4,760,23.4,1.07,4.3
09/01/1975,3.4,1.1,6.8,5290,0.0,0.61,3.1
10/01/1975,12.7,4.7,15.9,860,29.0,1.36,6.7
11/01/1975,1.5,-6.7,13.0,7490,1.6,0.43,7.5
12/01/1975,-8.9,-11.4,-6.7,8180,0.0,0.11,3.7
13/01/1975,-10.5,-12.8,-8.4,7820,0.0,0.11,3.0
14/01/1975,-8.8,-12.8,-5.2,10380,0.0,0.14,2.3
15/01/1975,-3.0,-5.9,0.4,9840,0.5,0.31,2.5
16/01/1975,-3.7,-6.5,-0.9,10770,1.5,0.29,3.3
17/01/1975,-4.4,-10.0,0.9,7450,0.3,0.21,2.4
18/01/1975,1.8,-1.3,5.4,6920,3.3,0.53,5.4
19/01/1975,-1.8,-5.3,0.6,4540,6.0,0.45,3.7
20/01/1975,-8.4,-11.3,-6.0,11260,0.0,0.23,2.4
21/01/1975,-1.7,-7.1,2.0,9940,0.0,0.41,5.0
22/01/1975,-0.5,-3.6,0.6,5630,0.0,0.52,2.0
23/01/1975,-3.9,-8.2,0.5,11260,0.0,0.36,3.1
24/01/1975,2.1,-2.1,7.8,9150,3.2,0.62,4.2
25/01/1975,2.4,-1.5,4.4,6420,9.9,0.63,5.7
26/01/1975,-2.4,-3.5,-0.9,5520,0.7,0.32,5.4
27/01/1975,-1.2,-4.6,2.2,3640,0.0,0.39,1.9
28/01/1975,2.9,0.2,7.4,4450,2.5,0.6,1.9
29/01/1975,6.6,-1.5,14.5,5400,13.2,0.85,6.1
30/01/1975,-1.0,-3.6,1.6,4580,5.5,0.41,1.3
31/01/1975,-0.4,-2.0,1.1,6510,2.1,0.51,2.7
01/02/1975,0.0,-2.5,2.4,11170,0.4,0.49,2.8
02/02/1975,-1.4,-5.2,2.4,10690,0.0,0.39,2.2
03/02/1975,-1.8,-4.7,1.8,10290,0.0,0.39,3.2
04/02/1975,-0.3,-2.5,1.3,3190,5.0,0.52,2.6
05/02/1975,1.4,0.1,2.5,2600,9.3,0.67,1.5
06/02/1975,-3.3,-10.3,-0.2,6740,0.8,0.4,4.3
07/02/1975,-9.3,-15.1,-3.4,13980,0.0,0.18,3.7
08/02/1975,-6.3,-9.8,-4.6,6090,3.3,0.25,3.0
09/02/1975,-14.2,-17.5,-10.4,14950,1.4,0.13,3.0
10/02/1975,-12.5,-23.1,-2.8,10070,0.3,0.19,2.4
11/02/1975,-1.7,-3.9,1.3,12400,1.8,0.44,2.0
12/02/1975,-3.9,-6.9,-2.0,14730,2.7,0.4,3.2
13/02/1975,-8.6,-13.2,-6.0,14500,0.0,0.22,2.2
14/02/1975,-5.9,-13.5,-1.9,8180,2.0,0.32,2.6
15/02/1975,1.0,-2.1,3.5,4650,10.6,0.6,2.8
16/02/1975,0.8,-0.4,2.7,8040,0.0,0.62,2.8
17/02/1975,3.2,1.0,4.9,4190,5.8,0.7,4.2
18/02/1975,0.9,-0.5,3.1,4130,1.9,0.58,2.6
19/02/1975,-1.5,-3.6,-0.4,5550,0.0,0.41,3.2
20/02/1975,0.2,-4.9,7.0,15560,0.0,0.39,3.1
21/02/1975,3.8,-2.2,10.7,11380,0.0,0.48,3.9
22/02/1975,5.4,4.0,6.6,2070,22.7,0.71,2.3
23/02/1975,3.0,0.7,5.4,3080,11.8,0.72,3.6
